Num.,polymer name,m1,c1,m2,c2,Size_pred,PDI_pred,EE_pred,NDI-Size_pred,NDI-PDI_pred,NDI-EE_pred,Deff_pred,logTE_pred
1,,PPG,68,PEG,60,87.5,0.06140000000000001,91.7,1.0355754084899995,1.2795247280500046,0.8972342014312744,0.4141448736190796,6.278155065435952
2,,PPG,345,PEG,621,77.5,0.0783,88.5,1.1540349536749999,3.1702955084460474,0.9312310218811035,0.5688052773475647,5.920213518421059
3,,PPG,461,PEG,34,109.0,0.40539999999999987,10.400000000000006,1.202915038255,1.3225935275286922,0.5046201944351196,0.19481678307056427,4.655095350343584
4,,PPG,301,PEG,988,77.5,0.07290000000000002,83.1,1.1397944824900001,2.528493585382105,1.0055807828903198,0.5890777707099915,5.8615972488904475
5,,PPG,476,PEG,536,77.5,0.0865,84.2,1.099606073685,1.4197792021062634,0.9345209002494812,0.539495587348938,5.947699287791352
6,,PPG,490,PEG,593,77.5,0.0849,84.2,1.098765466395,1.3866598482011683,0.9321917295455933,0.5647895932197571,5.947638118951351
7,,PPG,920,PEG,165,125.0,0.3349999999999999,33.6,1.0186099117700005,1.4503998020050788,0.7907519936561584,0.2277042418718338,5.536096075847969
8,,PPG,396,PEG,969,77.5,0.07819999999999999,88.5,1.136002693175,2.496700487737343,0.9340671896934509,0.5774606466293335,5.942411137808638
9,,PPG,477,PEG,857,77.5,0.0783,88.5,1.1540349536749999,3.1702955084460474,0.9312310218811035,0.5688052773475647,5.920213518421059
10,,PPG,60,PEG,726,80.61538461538461,0.06630000000000001,85.7,1.0977231089600004,2.4328388604181077,0.855320155620575,0.3807220757007599,5.869290460844856
11,,PPG,284,PEG,446,77.5,0.06059999999999999,88.5,1.154904757245,3.191208967434101,0.9322034120559692,0.5534111261367798,5.918995957914309
12,,PPG,909,PEG,754,87.5,0.09289999999999995,84.2,1.1026275418550002,1.1747361528980536,0.9480200409889221,0.4745093286037445,6.033465982958447
13,,PPG,706,PEG,644,87.5,0.08039999999999999,84.2,1.0873877991649998,1.2189249195287877,0.9501041769981384,0.5399951934814453,6.0410320623757805
